ID,Name,Initial Power,Overall KP gain,Overall DEAD gain,DKP Gain,Goal DKP
184275939,sabs sabs,29.023.674,12.539.748,513.864,15.882.120,58.047.348
177099616,ᶠˣSolkyz,36.907.323,23.818.562,238.881,15.528.048,73.814.646
182709747,亗 Budda 亗,43.118.442,31.818.283,24.652,15.100.256,86.236.884
184165138,Melon Banger,18.967.091,15.780.173,298.868,13.018.120,37.934.182
184122601,Commander Vador,33.461.793,2.111.813,597.108,12.859.402,66.923.586
184180282,ᴷᴾjotan88,18.420.237,11.751.438,325.777,12.038.234,36.840.474
179855894,Bột ᴹᴿ,32.561.008,13.820.167,288.273,11.988.786,65.122.016
181232930,ᴳᴸFinn,26.972.011,9.644.559,373.582,11.854.626,53.944.022
183721310,ᴰᴷSairen,16.860.225,489.349,578.496,11.800.070,33.720.450
179597073,乄Poseidon,52.895.363,20.095.326,120.727,11.646.188,105.790.726
184105572,ᴰᴷPaladin,31.072.770,12.958.440,286.710,11.645.082,62.145.540
183677493,Chan Filler,36.211.777,8.580.582,355.082,11.070.176,72.423.554
181480728,ᴰᴷAsbro987,29.107.361,14.701.996,169.022,9.959.930,58.214.722
183765537,闇Kars,35.337.006,16.637.619,93.738,9.355.908,70.674.012
182294869,ツUrSoツ,38.267.290,10.966.105,224.140,9.335.072,76.534.580
178794409,DragonFarmx1,23.083.324,498.742,344.892,7.130.070,46.166.648
184275710,RevizoR,12.657.032,221.540,348.147,7.073.710,25.314.064
183804046,ˢᵇʲNgáocor,25.828.309,7.773.344,155.887,6.650.376,51.656.618
184196327,Paka Falsae,20.020.798,6.796.708,159.883,6.248.504,40.041.596
180773473,DragonFarmx2,17.967.675,282.859,300.387,6.139.596,35.935.350
184580318,ᴰᴷvilanova2,21.830.549,6.885.345,139.046,5.995.148,43.661.098
184271772,BangNgan,20.101.295,1.594.300,258.423,5.876.502,40.202.590
187541483,KAZAXWAN,20.395.309,561.115,229.243,4.802.248,40.790.618
12356376,RU159,74.854.513,8.646.480,17.662,4.431.700,149.709.026
182933449,NC Izzy,35.531.582,9.858.946,14.643,4.222.596,71.063.164
177516898,SCHROO the hand,18.766.825,2.859.974,124.299,3.758.604,37.533.650
184300679,Machete69,20.660.976,1.196.960,134.524,3.205.272,41.321.952
186053681,Alpha Oluap,18.280.808,3.179.298,81.100,3.099.938,36.561.616
184251210,Bryanlaz,16.932.145,150.140,150.929,3.093.650,33.864.290
184930785,Justicia 3,25.302.068,280.060,136.918,2.877.524,50.604.136
184960036,ヅ Volkan Keleş,25.055.736,3.326.770,20.660,1.901.086,50.111.472
160522561,好ghost 2,39.124.824,1.751.146,47.874,1.657.906,78.249.648
184413866,ᴰᴷMissPom㋡,30.248.689,3.123.610,2.348,1.536.410,60.497.378
184242631,Gayacu 28,19.648.131,227.180,46.884,1.035.428,39.296.262
182497283,25 tháng 10,22.334.719,738.205,20.445,755.472,44.669.438
178575257,好ghost 1,32.158.993,417.131,27.368,729.046,64.317.986
183858835,DragonFarmx4,15.920.599,283.060,24.325,621.826,31.841.198
183727522,Delīz,32.975.878,1.105.260,0,517.426,65.951.756
190077954,DragonFarmx5,13.127.955,129.540,19.061,442.498,26.255.910
177111586,Kenzoᴶᴿ,23.485.354,669.331,0,333.930,46.970.708
184233761,The FuryZ,25.716.427,679.298,0,270.982,51.432.854
183757648,joy27,22.324.622,389.650,0,193.678,44.649.244
190673514,ᴵKenzo,13.154.870,67.780,161,37.110,26.309.740
172509504,ᴺᴰᴺOttoF,27.026.900,74.020,0,29.608,54.053.800
184228140,XXFOXX,24.298.193,21.799,0,9.252,48.596.386
185058546,MilanF3,20.256.433,5.160,0,2.064,40.512.866
185257396,Milanf4,15.216.374,4.402,0,1.760,30.432.748
